date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:36:47	40831/40831	---MCZ	200	added ('OK')	text/html	etag:W/%22638dbb4c-9f7f%22	https://template.hasthemes.com/taset/taset/index.html	C:/My%20Web%20Sites/Main_project/template.hasthemes.com/taset/taset/index.html	(from )
20:36:47	405/405	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Aug%202024%2015:06:48%20GMT	https://template.hasthemes.com/robots.txt		(from )
20:36:48	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22638dbb74-47e%22	https://template.hasthemes.com/taset/taset/assets/img/favicon.ico	C:/My%20Web%20Sites/Main_project/template.hasthemes.com/taset/taset/assets/img/favicon.ico	(from https://template.hasthemes.com/taset/taset/index.html)
20:36:48	194859/194859	---MCZ	200	added ('OK')	text/css	etag:W/%22638dbb5e-2f92b%22	https://template.hasthemes.com/taset/taset/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Main_project/template.hasthemes.com/taset/taset/assets/css/bootstrap.min.css	(from https://template.hasthemes.com/taset/taset/index.html)
20:36:48	3840/3840	---MCZ	200	added ('OK')	text/css	etag:W/%22638dbb5f-f00%22	https://template.hasthemes.com/taset/taset/assets/css/icofont.css	C:/My%20Web%20Sites/Main_project/template.hasthemes.com/taset/taset/assets/css/icofont.css	(from https://template.hasthemes.com/taset/taset/index.html)
20:36:49	15192/15192	---MCZ	200	added ('OK')	text/css	etag:W/%22638dbb64-3b58%22	https://template.hasthemes.com/taset/taset/assets/css/swiper.min.css	C:/My%20Web%20Sites/Main_project/template.hasthemes.com/taset/taset/assets/css/swiper.min.css	(from https://template.hasthemes.com/taset/taset/index.html)
20:36:50	169007/169007	---MCZ	200	added ('OK')	text/css	etag:W/%22638dbb62-2942f%22	https://template.hasthemes.com/taset/taset/assets/css/style.css	C:/My%20Web%20Sites/Main_project/template.hasthemes.com/taset/taset/assets/css/style.css	(from https://template.hasthemes.com/taset/taset/index.html)
20:36:50	1058/1058	---M--	200	added ('OK')	image/webp	date:Tue,%2027%20Aug%202024%2015:06:50%20GMT	https://template.hasthemes.com/taset/taset/assets/img/logo.webp	C:/My%20Web%20Sites/Main_project/template.hasthemes.com/taset/taset/assets/img/logo.webp	(from https://template.hasthemes.com/taset/taset/index.html)
20:36:50	1050/1050	---M--	200	added ('OK')	image/webp	date:Tue,%2027%20Aug%202024%2015:06:51%20GMT	https://template.hasthemes.com/taset/taset/assets/img/logo-light.webp	C:/My%20Web%20Sites/Main_project/template.hasthemes.com/taset/taset/assets/img/logo-light.webp	(from https://template.hasthemes.com/taset/taset/index.html)
20:36:50	20350/20350	---MCZ	200	added ('OK')	text/html	etag:W/%22638dbb56-4f7e%22	https://template.hasthemes.com/taset/taset/services.html	C:/My%20Web%20Sites/Main_project/template.hasthemes.com/taset/taset/services.html	(from https://template.hasthemes.com/taset/taset/index.html)
20:36:51	22296/22296	---MCZ	200	added ('OK')	text/html	etag:W/%22638dbb54-5718%22	https://template.hasthemes.com/taset/taset/service-details.html	C:/My%20Web%20Sites/Main_project/template.hasthemes.com/taset/taset/service-details.html	(from https://template.hasthemes.com/taset/taset/index.html)
20:36:51	21338/21338	---MCZ	200	added ('OK')	text/html	etag:W/%22638dbb52-535a%22	https://template.hasthemes.com/taset/taset/projects.html	C:/My%20Web%20Sites/Main_project/template.hasthemes.com/taset/taset/projects.html	(from https://template.hasthemes.com/taset/taset/index.html)
20:36:51	22706/22706	---MCZ	200	added ('OK')	text/html	etag:W/%22638dbb4f-58b2%22	https://template.hasthemes.com/taset/taset/project-details.html	C:/My%20Web%20Sites/Main_project/template.hasthemes.com/taset/taset/project-details.html	(from https://template.hasthemes.com/taset/taset/index.html)
20:36:51	27438/27438	---MCZ	200	added ('OK')	text/html	etag:W/%22638dbb3b-6b2e%22	https://template.hasthemes.com/taset/taset/about.html	C:/My%20Web%20Sites/Main_project/template.hasthemes.com/taset/taset/about.html	(from https://template.hasthemes.com/taset/taset/index.html)
20:36:51	6307/6307	---MCZ	200	added ('OK')	text/html	etag:W/%22638dbb47-18a3%22	https://template.hasthemes.com/taset/taset/coming-soon.html	C:/My%20Web%20Sites/Main_project/template.hasthemes.com/taset/taset/coming-soon.html	(from https://template.hasthemes.com/taset/taset/index.html)
20:36:52	16460/16460	---MCZ	200	added ('OK')	text/html	etag:W/%22638dbb4d-404c%22	https://template.hasthemes.com/taset/taset/page-not-found.html	C:/My%20Web%20Sites/Main_project/template.hasthemes.com/taset/taset/page-not-found.html	(from https://template.hasthemes.com/taset/taset/index.html)
20:36:52	27521/27521	---MCZ	200	added ('OK')	text/html	etag:W/%22638dbb46-6b81%22	https://template.hasthemes.com/taset/taset/blog.html	C:/My%20Web%20Sites/Main_project/template.hasthemes.com/taset/taset/blog.html	(from https://template.hasthemes.com/taset/taset/index.html)
20:36:52	26447/26447	---MCZ	200	added ('OK')	text/html	etag:W/%22638dbb3d-674f%22	https://template.hasthemes.com/taset/taset/blog-4-column.html	C:/My%20Web%20Sites/Main_project/template.hasthemes.com/taset/taset/blog-4-column.html	(from https://template.hasthemes.com/taset/taset/index.html)
20:36:53	32057/32057	---MCZ	200	added ('OK')	text/html	etag:W/%22638dbb41-7d39%22	https://template.hasthemes.com/taset/taset/blog-left-sidebar.html	C:/My%20Web%20Sites/Main_project/template.hasthemes.com/taset/taset/blog-left-sidebar.html	(from https://template.hasthemes.com/taset/taset/index.html)
